STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,DOMAIN,Domain,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,BASE_PER,Base period,DECIMALS,Decimals,POP_GROUP,Population group
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,AUS,Australia,A1_4,Students who report not having an internet connection at home,A1,Material outcomes,2018,,2.1,,A,Normal value,0,Units,PT_ST,Percentage of students,,,1,One,STUDENT_15,Students at age 15
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,AUT,Austria,A1_4,Students who report not having an internet connection at home,A1,Material outcomes,2018,,2,,A,Normal value,0,Units,PT_ST,Percentage of students,,,1,One,STUDENT_15,Students at age 15
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,BEL,Belgium,A1_4,Students who report not having an internet connection at home,A1,Material outcomes,2018,,1,,A,Normal value,0,Units,PT_ST,Percentage of students,,,1,One,STUDENT_15,Students at age 15
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CAN,Canada,A1_4,Students who report not having an internet connection at home,A1,Material outcomes,2018,,1.6,,A,Normal value,0,Units,PT_ST,Percentage of students,,,1,One,STUDENT_15,Students at age 15
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CHL,Chile,A1_4,Students who report not having an internet connection at home,A1,Material outcomes,2018,,11.6,,A,Normal value,0,Units,PT_ST,Percentage of students,,,1,One,STUDENT_15,Students at age 15
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,COL,Colombia,A1_4,Students who report not having an internet connection at home,A1,Material outcomes,2018,,32.9,,A,Normal value,0,Units,PT_ST,Percentage of students,,,1,One,STUDENT_15,Students at age 15
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CRI,Costa Rica,A1_4,Students who report not having an internet connection at home,A1,Material outcomes,2018,,17,,A,Normal value,0,Units,PT_ST,Percentage of students,,,1,One,STUDENT_15,Students at age 15
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CZE,Czechia,A1_4,Students who report not having an internet connection at home,A1,Material outcomes,2018,,1,,A,Normal value,0,Units,PT_ST,Percentage of students,,,1,One,STUDENT_15,Students at age 15
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DNK,Denmark,A1_4,Students who report not having an internet connection at home,A1,Material outcomes,2018,,0.3,,A,Normal value,0,Units,PT_ST,Percentage of students,,,1,One,STUDENT_15,Students at age 15
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,EST,Estonia,A1_4,Students who report not having an internet connection at home,A1,Material outcomes,2018,,0.5,,A,Normal value,0,Units,PT_ST,Percentage of students,,,1,One,STUDENT_15,Students at age 15
