STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,EDUCATION_LEV,Education level,DOMAIN,Domain,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,AUS,Australia,6_1_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,11.21517953,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,AUS,Australia,6_2_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,11.21517953,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,AUT,Austria,6_1_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,13.51205341,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,AUT,Austria,6_2_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,13.51205341,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,BEL,Belgium,6_1_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,12.48883843,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,BEL,Belgium,6_2_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,12.48883843,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CAN,Canada,6_1_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,6.373436431,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CAN,Canada,6_2_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,6.373436431,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CHL,Chile,6_1_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,23.46522061,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CHL,Chile,6_2_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,23.46522061,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,COL,Colombia,6_1_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,39.92956365,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,COL,Colombia,6_2_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,39.92956365,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CRI,Costa Rica,6_1_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,33.54621859,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CRI,Costa Rica,6_2_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,33.54621859,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CZE,Czechia,6_1_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,10.51550277,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CZE,Czechia,6_2_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,10.51550277,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,DNK,Denmark,6_1_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,8.142326092,,A,Normal value,0,Units,2,Two,,
